token_id,token_str,frequency,mean_entropy,std_entropy,mean_confidence,std_confidence,routing_consistency,top_expert,min_entropy,max_entropy
3448,quite,354,2.0772698181497162,0.0015176366268366927,0.13781048618467526,0.00546121015796092,0.3050847457627119,5,2.068359375,2.080078125
7108,equipment,353,2.073289217422098,0.002188729586590121,0.14627204873406507,0.006036564696367478,0.40509915014164305,4,2.06640625,2.078125
335,if,352,2.067982066761364,0.012020386287350682,0.15329707752574553,0.01980076460106598,0.26704545454545453,7,2.017578125,2.078125
568,..,352,2.0634543678977266,0.00712567130434189,0.16438744284889908,0.011035849880998967,0.7556818181818182,0,2.046875,2.076171875
28824,Q,351,2.0678975249287723,0.00705552390097526,0.15744009860220798,0.013954870814623039,0.3732193732193732,1,2.041015625,2.078125
2458,ised,351,2.0759548611111107,0.0030377515266719344,0.1418244886262465,0.006597763344781588,0.4843304843304843,4,2.052734375,2.080078125
5165,solution,351,2.072738603988604,0.002297763021932232,0.14595366475249286,0.00505877821319956,0.5498575498575499,4,2.064453125,2.078125
3558,amount,351,2.0751535790598266,0.0017331156430842717,0.1418008396768162,0.00548248741441775,0.33048433048433046,7,2.068359375,2.078125
4347,takes,350,2.0759933035714275,0.0017652098734887791,0.1413856724330357,0.004909263404385188,0.45714285714285713,7,2.068359375,2.078125
1291,ages,350,2.0754352678571433,0.0028367449372235973,0.14360421316964284,0.0067851203817827785,0.38571428571428573,1,2.05859375,2.078125
336,ow,350,2.0701506696428584,0.009999875143226531,0.15065185546875004,0.01841570125452196,0.28285714285714286,2,2.029296875,2.080078125
4907,items,350,2.076489955357144,0.0016587224487798842,0.14016566685267848,0.006201013364243899,0.3942857142857143,1,2.0703125,2.080078125
5593,financial,350,2.0729687499999994,0.0018307613221591674,0.1463357979910715,0.005217230099013448,0.7142857142857143,2,2.06640625,2.076171875
1170,br,350,2.073811383928572,0.002261181885755718,0.1492229352678572,0.008719748109321464,0.4857142857142857,1,2.064453125,2.078125
4153,percent,349,2.0741515938395425,0.002292842884139432,0.14494817782951286,0.00735677668220461,0.7134670487106017,4,2.068359375,2.078125
695,ory,349,2.070894520057307,0.007537570403176314,0.15031402500447705,0.012258294124683216,0.6103151862464183,3,2.025390625,2.078125
2145,interest,349,2.0749518714183393,0.0018309610106222324,0.14304856789487808,0.0069976482015422,0.4297994269340974,4,2.064453125,2.078125
4312,usually,349,2.0765356375358155,0.0019443893149000216,0.14304017337482086,0.008696655877742415,0.49283667621776506,1,2.068359375,2.080078125
3493,original,348,2.075010102370689,0.0019555738477053347,0.1411778241738505,0.005572392650101885,0.32471264367816094,2,2.0625,2.078125
595,ach,348,2.0681124281609216,0.013115142886469372,0.15267663714529467,0.02009708648321504,0.3764367816091954,2,2.017578125,2.078125
6057,growth,348,2.075677981321836,0.002435905696647658,0.1410364611395473,0.00667215046703741,0.3074712643678161,3,2.068359375,2.080078125
4916,improve,347,2.0728903998559063,0.002236027732147813,0.1475534576503962,0.007669040341793843,0.45821325648414984,1,2.06640625,2.078125
5442,collection,345,2.0749150815217416,0.0017340191171679288,0.1428247424139493,0.004896476867908698,0.4434782608695652,4,2.068359375,2.078125
4337,higher,344,2.075042014898257,0.002793924490331948,0.14387689634811046,0.008779367308316263,0.3633720930232558,3,2.0625,2.078125
4058,review,344,2.07400867550872,0.0024118054489415085,0.14878951671511612,0.00831270899645377,0.622093023255814,1,2.06640625,2.078125
1380,ina,344,2.0695516896802344,0.008615284993436138,0.1528866790061772,0.015456437411271347,0.5697674418604651,2,2.025390625,2.078125
4610,happy,343,2.0753348214285703,0.001901032278875972,0.14262083181486876,0.005666991411349013,0.3673469387755102,3,2.068359375,2.078125
4102,fast,343,2.0737859876093294,0.0028005554293949442,0.14521776204901607,0.00731732223052378,0.6326530612244898,3,2.0625,2.078125
3117,ators,343,2.0745262390670574,0.0025945085051130943,0.14366714877915437,0.0057484001040976306,0.5102040816326531,7,2.060546875,2.078125
4621,lives,343,2.076980457361518,0.0018084581759584518,0.14183894121264576,0.007223049820186466,0.4839650145772595,2,2.0625,2.080078125
3214,taken,343,2.07651352951895,0.001648049943291312,0.14250516752459905,0.004718909511909917,0.60932944606414,7,2.068359375,2.078125
895,let,343,2.0710356687317772,0.006446693934698855,0.15083370820426376,0.012208216160918182,0.3673469387755102,7,2.03515625,2.078125
5099,parts,342,2.075520833333335,0.002177889182707755,0.14110721342744875,0.007324231144871708,0.2719298245614035,2,2.06640625,2.078125
3917,likely,342,2.077628152412281,0.0012642150963250276,0.1372209515487939,0.005825832533899313,0.28654970760233917,1,2.072265625,2.080078125
3209,matter,342,2.07529239766082,0.0024547551819174645,0.14269412748994892,0.008261712288025082,0.32456140350877194,3,2.068359375,2.078125
7501,providing,342,2.0745214272660797,0.0015209466932820147,0.1444805658351609,0.004716626069855473,0.41228070175438597,4,2.0703125,2.078125
5391,recent,342,2.0761947185672516,0.002278190016946855,0.1423907363623903,0.007266918320673089,0.2631578947368421,2,2.06640625,2.080078125
